Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jalen Wilson,24,PF,79,22,2031,9.5,.541,.584,.266,4.0,11.4,7.5,10.8,1.0,0.2,10.2,16.6,0.9,1.0,1.9,.046,-2.6,-1.3,-3.9,-1.0,,wilsoja03
2,Keon Johnson,22,SG,79,56,1925,10.4,.499,.515,.178,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-1.3,1.9,0.5,.014,-3.1,-0.1,-3.3,-0.6,,johnske07
3,Nic Claxton,25,C,70,62,1882,16.5,.569,.037,.271,9.0,22.7,15.5,13.7,1.6,5.3,12.0,16.8,1.8,2.5,4.3,.110,-1.1,1.5,0.4,1.1,,claxtni01
4,Cameron Johnson,28,PF,57,57,1800,18.2,.632,.546,.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.3,5.1,.137,3.5,-0.4,3.1,2.3,,johnsca02
5,Ziaire Williams,23,SF,63,45,1541,11.9,.550,.581,.237,4.3,17.5,10.6,8.5,2.0,1.8,10.5,18.2,0.5,1.6,2.1,.065,-2.2,-0.1,-2.3,-0.1,,willizi02
6,Tyrese Martin,25,SG,60,11,1315,10.9,.533,.606,.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,0.0,0.9,0.9,.033,-1.4,-1.2,-2.6,-0.2,,martity01
7,Noah Clowney,20,PF,46,20,1042,9.2,.516,.702,.215,4.5,15.8,9.9,5.9,1.1,2.0,10.2,19.0,-0.3,0.8,0.5,.023,-3.1,-1.0,-4.1,-0.5,,clownno01
8,Trendon Watford,24,PF,44,6,913,13.0,.557,.251,.349,4.4,16.0,9.9,21.0,1.5,1.3,17.1,23.3,0.0,0.8,0.7,.038,-2.3,-0.8,-3.1,-0.3,,watfotr01
9,Day'Ron Sharpe,23,C,50,2,907,19.7,.568,.142,.233,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9,1.3,1.4,2.7,.141,0.0,0.9,0.9,0.7,,sharpda01
10,Ben Simmons,28,PG,33,24,825,12.6,.562,.000,.153,3.9,20.5,11.8,41.6,1.6,1.9,32.7,14.3,0.3,0.9,1.1,.065,-2.4,1.4,-1.0,0.2,,simmobe01
11,Cam Thomas,23,SG,25,23,781,18.0,.575,.430,.333,2.1,10.4,6.0,22.9,1.0,0.3,10.6,32.6,0.8,0.4,1.2,.071,2.8,-2.6,0.3,0.5,,thomaca02
12,Dennis Schröder,31,PG,23,23,772,16.0,.588,.462,.249,0.6,9.9,5.0,33.4,1.7,0.5,14.1,23.8,1.1,0.5,1.6,.099,1.1,-1.1,0.0,0.4,,schrode01
13,D'Angelo Russell,28,PG,29,26,717,15.1,.508,.587,.281,1.8,11.6,6.5,36.6,2.3,2.6,13.6,25.9,0.2,0.7,0.9,.063,0.8,0.2,1.0,0.5,,russeda01
14,Tosan Evbuomwan,23,SF,28,0,665,11.6,.530,.350,.332,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1,0.0,0.6,0.6,.044,-3.0,-0.3,-3.2,-0.2,,evbuoto01
15,Dorian Finney-Smith,31,PF,20,20,579,12.2,.613,.679,.151,5.8,12.3,8.9,8.2,1.5,2.1,9.6,14.2,0.7,0.5,1.1,.094,-0.1,0.1,0.0,0.3,,finnedo01
16,Shake Milton,28,SG,27,1,492,12.8,.580,.459,.210,3.5,8.5,5.9,20.6,1.5,0.2,10.4,17.0,0.7,0.3,1.0,.093,-0.8,-0.2,-0.9,0.1,,miltosh01
17,Reece Beekman,23,PG,34,4,465,7.2,.395,.377,.198,2.8,6.7,4.6,18.9,3.4,0.4,15.4,12.8,-0.4,0.5,0.1,.005,-6.8,1.2,-5.6,-0.4,,beekmre01
18,Maxwell Lewis,22,SF,21,1,298,10.6,.526,.490,.098,5.8,14.8,10.1,9.0,1.3,2.3,10.1,17.4,0.0,0.2,0.3,.041,-2.9,-1.0,-3.9,-0.1,,lewisma05
19,Drew Timme,24,PF,9,2,254,11.0,.500,.343,.157,7.3,22.5,14.5,13.1,0.8,0.4,12.1,21.3,-0.1,0.2,0.0,.009,-3.9,-2.8,-6.7,-0.3,,timmedr01
20,Dariq Whitehead,20,SF,20,0,246,9.4,.580,.771,.052,1.8,12.1,6.7,7.8,1.2,0.4,13.3,20.1,-0.1,0.1,0.1,.010,-1.5,-2.2,-3.7,-0.1,,whiteda01
21,Killian Hayes,23,PG,6,5,162,12.7,.559,.488,.279,3.3,9.6,6.3,28.6,1.2,2.5,15.7,15.5,0.2,0.1,0.3,.095,-0.5,-0.1,-0.6,0.1,,hayeski01
22,Tyson Etienne,25,PG,7,0,151,5.6,.488,.846,.192,2.2,4.7,3.4,11.9,1.0,0.7,12.4,18.6,-0.1,0.1,-0.1,-0.021,-5.7,-3.1,-8.8,-0.3,,etienty01
23,Cui Yongxi,21,SG,5,0,10,-10.7,.190,.429,.286,0.0,23.8,11.4,0.0,0.0,0.0,0.0,34.4,-0.1,0.0,-0.1,-0.473,-16.8,-8.2,-24.9,-0.1,,cuiyo01
24,Jaylen Martin,21,SF,3,0,5,12.8,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,.112,4.0,-0.6,3.4,0.0,,martija02
