Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Kevin Durant,PF,2791,4.0,0.1,4.3,duranke01,PHO,2024
Grayson Allen,SG,2513,1.1,0.1,2.0,allengr01,PHO,2024
Devin Booker,PG,2447,4.0,-1.0,3.1,bookede01,PHO,2024
Jusuf Nurkić,C,2078,-1.0,2.1,1.6,nurkiju01,PHO,2024
Eric Gordon,SG,1893,-1.3,-0.5,0.1,gordoer01,PHO,2024
Bradley Beal,SG,1767,0.9,-0.6,1.1,bealbr01,PHO,2024
Drew Eubanks,C,1169,-2.0,0.8,0.2,eubandr01,PHO,2024
Josh Okogie,SG,960,-1.3,0.8,0.4,okogijo01,PHO,2024
Royce O'Neale,SF,752,-0.2,1.4,0.6,onealro01,PHO,2024
Keita Bates-Diop,SF,597,-1.5,0.3,0.1,bateske01,PHO,2024
Jordan Goodwin,PG,558,-1.3,0.4,0.2,goodwjo01,PHO,2024
Bol Bol,PF,469,1.4,0.8,0.5,bolbo01,PHO,2024
Nassir Little,SF,458,-2.4,-0.6,-0.1,littlna01,PHO,2024
Chimezie Metu,C,448,-1.6,0.3,0.1,metuch01,PHO,2024
Yuta Watanabe,SF,382,-4.6,-1.4,-0.4,watanyu01,PHO,2024
Saben Lee,PG,185,-2.0,0.6,0.0,leesa01,PHO,2024
Udoka Azubuike,C,113,-3.0,-0.1,0.0,azubuud01,PHO,2024
Thaddeus Young,PF,89,-1.5,0.6,0.0,youngth01,PHO,2024
David Roddy,PF,63,-4.8,-1.0,-0.1,roddyda01,PHO,2024
Isaiah Thomas,PG,19,-1.6,-5.2,0.0,thomais02,PHO,2024
Ish Wainright,SF,16,-7.8,0.3,0.0,wainris01,PHO,2024
Théo Maledon,PG,13,-17.6,-6.1,-0.1,maledth01,PHO,2024
