Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jaden Ivey,SG,2217,-1.4,-1.7,-0.6,iveyja01,DET,2024
Cade Cunningham,PG,2074,2.0,-1.6,1.2,cunnica01,DET,2024
Jalen Duren,C,1777,-0.2,0.1,0.9,durenja01,DET,2024
Ausar Thompson,SF,1583,-2.8,0.6,-0.1,thompau01,DET,2024
Isaiah Stewart,PF,1423,-1.6,-0.7,-0.1,stewais01,DET,2024
Marcus Sasser,PG,1351,-1.5,-1.1,-0.2,sassema01,DET,2024
James Wiseman,C,1091,-2.6,-0.9,-0.4,wisemja01,DET,2024
Killian Hayes,PG,1008,-2.9,0.2,-0.2,hayeski01,DET,2024
Bojan Bogdanović,PF,921,0.3,-2.5,0.0,bogdabo02,DET,2024
Alec Burks,SG,901,1.3,-1.7,0.4,burksal01,DET,2024
Kevin Knox,SF,560,-2.8,-1.8,-0.4,knoxke01,DET,2024
Evan Fournier,SG,541,-4.2,0.3,-0.3,fournev01,DET,2024
Simone Fontecchio,SF,484,1.0,-0.4,0.3,fontesi01,DET,2024
Marvin Bagley III,C,478,0.4,-1.6,0.1,baglema01,DET,2024
Isaiah Livers,PF,469,-5.0,-1.5,-0.5,liveris01,DET,2024
Troy Brown Jr.,SF,417,-5.3,-0.2,-0.4,browntr01,DET,2024
Chimezie Metu,C,411,-2.7,1.4,0.1,metuch01,DET,2024
Malachi Flynn,PG,342,-1.0,-0.3,0.1,flynnma01,DET,2024
Stanley Umude,SG,307,-1.5,-0.1,0.0,umudest01,DET,2024
Tosan Evbuomwan,SF,293,-1.9,-0.3,0.0,evbuoto01,DET,2024
Jared Rhoden,SG,245,-2.9,0.4,0.0,rhodeja01,DET,2024
Mike Muscala,C,171,-1.7,-0.6,0.0,muscami01,DET,2024
Joe Harris,SG,170,-4.7,-1.1,-0.2,harrijo01,DET,2024
Quentin Grimes,SG,115,-7.8,-0.4,-0.2,grimequ01,DET,2024
Danilo Gallinari,SF,90,5.9,1.0,0.2,gallida01,DET,2024
Buddy Boeheim,SF,84,-0.7,-2.8,0.0,boehebu01,DET,2024
Monte Morris,PG,68,-4.7,-2.2,-0.1,morrimo01,DET,2024
Shake Milton,SG,63,0.2,0.1,0.0,miltosh01,DET,2024
Jaylen Nowell,SG,58,0.7,-0.8,0.0,nowelja01,DET,2024
Taj Gibson,PF,39,1.2,0.4,0.0,gibsota01,DET,2024
Malcolm Cazalon,SG,3,-6.0,-3.2,0.0,cazalma01,DET,2024
