Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Damian Lillard,PG,2579,3.4,-1.3,2.7,lillada01,MIL,2024
Giannis Antetokounmpo,PF,2567,6.7,2.4,7.2,antetgi01,MIL,2024
Brook Lopez,C,2411,0.2,0.8,1.8,lopezbr01,MIL,2024
Malik Beasley,SG,2337,-1.0,-0.8,0.1,beaslma01,MIL,2024
Bobby Portis,PF,2008,0.0,-0.8,0.6,portibo01,MIL,2024
Pat Connaughton,SF,1676,-1.6,0.0,0.2,connapa01,MIL,2024
Khris Middleton,SF,1487,1.1,0.0,1.2,middlkh01,MIL,2024
Jae Crowder,PF,1156,-2.6,0.0,-0.2,crowdja01,MIL,2024
Cameron Payne,PG,702,-1.0,-0.5,0.1,payneca01,MIL,2024
A.J. Green,SG,614,-0.4,-1.7,0.0,greenaj01,MIL,2024
MarJon Beauchamp,SF,608,-2.3,-0.9,-0.2,beaucma01,MIL,2024
Andre Jackson Jr.,SG,572,-3.6,0.0,-0.2,jacksan01,MIL,2024
Patrick Beverley,PG,543,-1.6,1.2,0.2,beverpa01,MIL,2024
Thanasis Antetokounmpo,PF,155,-6.7,0.3,-0.2,antetth01,MIL,2024
Danilo Gallinari,SF,155,-5.0,-0.2,-0.1,gallida01,MIL,2024
Chris Livingston,SF,90,-7.0,-1.0,-0.1,livinch01,MIL,2024
Robin Lopez,C,65,-4.7,-1.4,-0.1,lopezro01,MIL,2024
TyTy Washington Jr.,PG,56,-7.1,-1.0,-0.1,washity02,MIL,2024
Ryan Rollins,PG,12,0.6,8.5,0.0,rolliry01,MIL,2024
Lindell Wigginton,PG,8,-14.6,-9.2,0.0,wiggili01,MIL,2024
Marques Bolden,C,3,-7.8,2.3,0.0,boldema01,MIL,2024
