Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Paul George,PF,2502,2.9,0.2,3.3,georgpa01,LAC,2024
James Harden,PG,2470,3.8,0.3,3.8,hardeja01,LAC,2024
Kawhi Leonard,SF,2330,4.8,0.6,4.4,leonaka01,LAC,2024
Norman Powell,SG,1990,0.4,-1.2,0.6,powelno01,LAC,2024
Terance Mann,SG,1873,-0.8,-0.7,0.2,mannte01,LAC,2024
Ivica Zubac,C,1794,0.8,0.0,1.3,zubaciv01,LAC,2024
Russell Westbrook,PG,1529,-0.2,0.7,1.0,westbru01,LAC,2024
Amir Coffey,SF,1460,-1.9,-0.3,-0.1,coffeam01,LAC,2024
Daniel Theis,C,1007,-1.6,0.1,0.1,theisda01,LAC,2024
Mason Plumlee,C,674,-1.1,0.4,0.2,plumlma01,LAC,2024
Bones Hyland,PG,540,-2.8,-0.8,-0.2,hylanbo01,LAC,2024
P.J. Tucker,PF,420,-3.9,0.3,-0.2,tuckepj01,LAC,2024
Kobe Brown,PF,394,-4.0,0.2,-0.2,brownko01,LAC,2024
Brandon Boston Jr.,SF,345,-6.2,-2.7,-0.6,bostobr01,LAC,2024
Xavier Moon,SG,119,-4.7,-1.4,-0.1,moonxa01,LAC,2024
Robert Covington,PF,69,-2.3,4.5,0.1,covinro01,LAC,2024
Moussa Diabaté,C,64,4.0,-0.5,0.1,diabamo01,LAC,2024
Nicolas Batum,PF,54,-1.5,4.4,0.1,batumni01,LAC,2024
KJ Martin,SF,31,-6.8,0.7,0.0,martike04,LAC,2024
Jordan Miller,SF,28,0.4,-4.2,0.0,millejo02,LAC,2024
Joshua Primo,SG,10,-16.8,-8.2,-0.1,primojo01,LAC,2024
