Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Mikal Bridges,SF,2854,0.7,-1.0,1.2,bridgmi01,BRK,2024
Nic Claxton,C,2116,-0.3,1.5,1.7,claxtni01,BRK,2024
Cam Thomas,SG,2075,0.7,-1.9,0.4,thomaca02,BRK,2024
Dorian Finney-Smith,PF,1934,-2.0,-0.1,0.0,finnedo01,BRK,2024
Cameron Johnson,PF,1599,0.9,-0.5,1.0,johnsca02,BRK,2024
Spencer Dinwiddie,PG,1474,-0.5,-0.8,0.3,dinwisp01,BRK,2024
Royce O'Neale,SF,1202,-1.6,0.8,0.4,onealro01,BRK,2024
Dennis Smith Jr.,PG,1059,-2.6,1.8,0.3,smithde03,BRK,2024
Lonnie Walker IV,SG,1011,-0.4,-1.0,0.2,walkelo01,BRK,2024
Dennis Schröder,PG,927,-0.5,-1.4,0.0,schrode01,BRK,2024
Day'Ron Sharpe,C,921,-0.4,0.4,0.5,sharpda01,BRK,2024
Trendon Watford,PF,856,-0.9,0.4,0.3,watfotr01,BRK,2024
Jalen Wilson,PF,664,-1.8,-1.1,-0.2,wilsoja03,BRK,2024
Noah Clowney,PF,370,-0.8,0.1,0.1,clownno01,BRK,2024
Ben Simmons,PG,359,-0.5,2.9,0.4,simmobe01,BRK,2024
Armoni Brooks,PG,104,-2.2,-3.7,-0.1,brookar01,BRK,2024
Harry Giles,C,81,-1.1,-1.8,0.0,gilesha01,BRK,2024
Keita Bates-Diop,SF,68,-1.3,1.5,0.0,bateske01,BRK,2024
Keon Johnson,SG,61,-1.6,-1.1,0.0,johnske07,BRK,2024
Jacob Gilyard,PG,45,-8.7,6.5,0.0,gilyaja01,BRK,2024
Dariq Whitehead,SF,24,-5.5,-2.4,0.0,whiteda01,BRK,2024
