Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jordan Poole,SG,2346,-2.0,-1.9,-1.2,poolejo01,WAS,2024
Kyle Kuzma,PF,2281,0.5,-1.6,0.5,kuzmaky01,WAS,2024
Deni Avdija,SF,2257,-0.7,-0.2,0.6,avdijde01,WAS,2024
Corey Kispert,SF,2067,-0.2,-2.0,-0.1,kispeco01,WAS,2024
Tyus Jones,PG,1933,1.5,-0.9,1.3,jonesty01,WAS,2024
Bilal Coulibaly,SF,1715,-3.6,-0.5,-0.9,coulibi01,WAS,2024
Daniel Gafford,C,1192,-0.2,1.1,0.9,gaffoda01,WAS,2024
Landry Shamet,SG,726,-2.7,-1.3,-0.4,shamela01,WAS,2024
Johnny Davis,SG,613,-5.5,-1.1,-0.7,davisjo06,WAS,2024
Marvin Bagley III,C,575,1.5,-1.2,0.3,baglema01,WAS,2024
Jared Butler,SG,566,-1.5,-0.5,0.0,butleja02,WAS,2024
Patrick Baldwin Jr.,SF,493,-4.0,-0.6,-0.3,baldwpa01,WAS,2024
Anthony Gill,PF,466,-2.6,-1.5,-0.3,gillan01,WAS,2024
Delon Wright,PG,456,-1.8,2.3,0.3,wrighde01,WAS,2024
Eugene Omoruyi,SF,393,-1.9,-0.4,0.0,omorueu01,WAS,2024
Danilo Gallinari,PF,385,-0.8,-1.8,-0.1,gallida01,WAS,2024
Mike Muscala,C,338,-4.4,-1.8,-0.4,muscami01,WAS,2024
Richaun Holmes,PF,318,-2.4,-1.0,-0.1,holmeri01,WAS,2024
Justin Champagnie,SF,235,-1.1,-0.8,0.0,champju01,WAS,2024
Tristan Vukcevic,C,153,-3.5,-0.1,-0.1,vukcetr01,WAS,2024
Jules Bernard,SG,149,-0.6,-2.5,0.0,bernaju01,WAS,2024
Ryan Rollins,PG,66,0.6,4.5,0.1,rolliry01,WAS,2024
Hamidou Diallo,SG,5,2.7,16.0,0.0,diallha01,WAS,2024
Trey Jemison,C,1,-30.3,-3.6,0.0,jemistr01,WAS,2024
