Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Devin Vassell,SG,2248,0.9,-0.9,1.1,vassede01,SAS,2024
Jeremy Sochan,PF,2193,-2.8,-0.6,-0.8,sochaje01,SAS,2024
Tre Jones,PG,2138,-0.4,0.1,0.9,jonestr01,SAS,2024
Victor Wembanyama,C,2106,1.9,3.3,3.8,wembavi01,SAS,2024
Keldon Johnson,SF,2038,-0.3,-1.4,0.2,johnske04,SAS,2024
Malaki Branham,PG,1594,-3.4,-2.2,-1.5,branhma01,SAS,2024
Zach Collins,C,1526,-2.0,-0.1,0.0,colliza01,SAS,2024
Julian Champagnie,SF,1468,-1.8,-0.1,0.0,champju02,SAS,2024
Cedi Osman,SF,1269,-1.7,-0.3,0.0,osmande01,SAS,2024
Blake Wesley,SG,876,-4.0,0.1,-0.4,weslebl01,SAS,2024
Doug McDermott,SF,700,-1.0,-1.8,-0.2,mcderdo01,SAS,2024
Sandro Mamukelashvili,C,451,-0.1,-0.4,0.2,mamuksa01,SAS,2024
Dominick Barlow,PF,420,-1.7,0.0,0.0,barlodo01,SAS,2024
Devonte' Graham,PG,313,-3.0,-0.9,-0.1,grahade01,SAS,2024
Charles Bassey,C,205,-1.8,3.1,0.2,bassech01,SAS,2024
Sidy Cissoko,SF,141,-4.0,1.4,0.0,cissosi01,SAS,2024
David Duke Jr.,SG,51,-0.1,1.4,0.0,dukeda01,SAS,2024
RaiQuan Gray,PF,39,5.6,1.8,0.1,grayra01,SAS,2024
Jamaree Bouyea,PG,38,-6.1,2.2,0.0,bouyeja01,SAS,2024
Mamadi Diakite,PF,16,7.9,3.7,0.1,diakima01,SAS,2024
