Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jordan Poole,24,SG,78,66,2346,12.1,.529,.476,.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2,,poolejo01
2,Kyle Kuzma,28,PF,70,70,2281,15.7,.547,.343,.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1.0,1.1,0.2,.004,0.5,-1.6,-1.1,0.5,,kuzmaky01
3,Deni Avdija,23,SF,75,75,2257,14.9,.597,.293,.340,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,.068,-0.7,-0.2,-0.9,0.6,,avdijde01
4,Corey Kispert,24,SF,80,22,2067,12.8,.620,.605,.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,.048,-0.2,-2.0,-2.1,-0.1,,kispeco01
5,Tyus Jones,27,PG,66,66,1933,16.5,.578,.384,.060,1.1,9.0,5.0,34.6,1.7,0.8,8.8,16.3,3.9,0.7,4.5,.113,1.5,-0.9,0.7,1.3,,jonesty01
6,Bilal Coulibaly,19,SF,63,15,1715,8.9,.543,.428,.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,.013,-3.6,-0.5,-4.2,-0.9,,coulibi01
7,Daniel Gafford,25,C,45,45,1192,19.9,.707,.000,.405,11.5,21.1,16.2,8.0,1.7,6.6,11.7,13.9,3.0,1.4,4.4,.178,-0.2,1.1,0.9,0.9,,gaffoda01
8,Landry Shamet,26,SG,46,5,726,10.5,.556,.573,.168,2.3,6.9,4.6,10.2,1.6,1.1,9.3,18.8,0.1,0.2,0.3,.022,-2.7,-1.3,-4.0,-0.4,,shamela01
9,Johnny Davis,21,SG,50,6,613,6.2,.462,.260,.156,3.1,9.6,6.3,6.6,1.4,1.3,7.3,12.2,-0.3,0.2,-0.1,-0.009,-5.5,-1.1,-6.6,-0.7,,davisjo06
10,Marvin Bagley III,24,C,24,15,575,20.5,.622,.075,.286,15.3,20.9,18.0,7.3,1.2,2.7,10.5,20.9,1.1,0.4,1.6,.130,1.5,-1.2,0.3,0.3,,baglema01
11,Jared Butler,23,SG,40,0,566,14.1,.579,.388,.179,1.7,9.5,5.5,30.9,2.4,1.2,18.7,19.9,0.3,0.3,0.6,.054,-1.5,-0.5,-2.1,0.0,,butleja02
12,Patrick Baldwin Jr.,21,SF,38,7,493,9.7,.502,.626,.181,3.6,23.5,13.3,7.6,1.7,2.5,10.2,15.9,-0.3,0.5,0.2,.019,-4.0,-0.6,-4.6,-0.3,,baldwpa01
13,Anthony Gill,31,PF,50,3,466,12.1,.537,.256,.225,8.3,13.4,10.8,10.0,1.3,1.9,11.6,18.0,0.1,0.2,0.4,.038,-2.6,-1.5,-4.1,-0.3,,gillan01
14,Delon Wright,31,PG,33,0,456,14.1,.497,.311,.238,3.0,11.0,6.9,22.8,3.6,1.4,7.5,13.5,0.4,0.4,0.9,.092,-1.8,2.3,0.5,0.3,,wrighde01
15,Eugene Omoruyi,26,SF,43,0,393,16.0,.549,.275,.293,9.3,13.9,11.6,13.0,3.2,1.0,10.0,22.5,0.2,0.4,0.6,.074,-1.9,-0.4,-2.3,0.0,,omorueu01
16,Danilo Gallinari,35,PF,26,0,385,13.4,.581,.489,.427,3.3,18.2,10.6,10.8,0.7,0.6,7.2,18.3,0.5,0.1,0.6,.080,-0.8,-1.8,-2.6,-0.1,,gallida01
17,Mike Muscala,32,C,24,2,338,7.6,.481,.567,.222,6.8,17.2,11.9,8.2,0.7,1.7,13.9,14.3,-0.2,0.1,0.0,-0.005,-4.4,-1.8,-6.2,-0.4,,muscami01
18,Richaun Holmes,30,PF,17,8,318,14.9,.608,.034,.295,12.5,22.7,17.5,4.3,1.2,2.6,10.8,14.8,0.5,0.2,0.7,.110,-2.4,-1.0,-3.4,-0.1,,holmeri01
19,Justin Champagnie,22,SF,15,1,235,13.6,.526,.577,.192,8.5,15.8,12.1,10.7,2.0,3.1,10.6,17.0,0.1,0.2,0.3,.058,-1.1,-0.8,-1.8,0.0,,champju01
20,Tristan Vukcevic,20,C,10,4,153,13.9,.554,.537,.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0.0,0.1,0.1,.045,-3.5,-0.1,-3.6,-0.1,,vukcetr01
21,Jules Bernard,24,SG,19,0,149,12.7,.544,.453,.141,7.0,11.8,9.3,15.4,0.9,0.5,10.5,21.5,0.0,0.0,0.1,.026,-0.6,-2.5,-3.0,0.0,,bernaju01
22,Ryan Rollins,21,PG,10,0,66,22.7,.631,.120,.680,3.2,14.9,8.9,24.0,5.7,3.7,17.7,25.2,0.1,0.1,0.2,.147,0.6,4.5,5.0,0.1,,rolliry01
23,Hamidou Diallo,25,SG,2,0,5,33.2,.500,.000,.000,41.8,0.0,21.4,28.9,18.7,0.0,33.3,25.3,0.0,0.0,0.0,.204,2.7,16.0,18.7,0.0,,diallha01
24,Trey Jemison,24,C,2,0,1,-36.1,,,,0.0,100.0,53.5,0.0,0.0,0.0,100.0,42.1,0.0,0.0,0.0,-1.200,-30.3,-3.6,-33.9,0.0,,jemistr01
