Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Mikal Bridges,SF,3036,0.4,-0.9,1.2,bridgmi01,NYK,2025
Josh Hart,SG,2897,1.1,1.8,3.6,hartjo01,NYK,2025
OG Anunoby,PF,2706,0.7,0.1,1.9,anunoog01,NYK,2025
Karl-Anthony Towns,C,2517,3.5,0.1,3.5,townska01,NYK,2025
Jalen Brunson,PG,2301,4.7,-1.3,3.1,brunsja01,NYK,2025
Miles McBride,SG,1593,-0.4,0.4,0.8,mcbrimi01,NYK,2025
Precious Achiuwa,C,1170,-2.1,0.2,0.0,achiupr01,NYK,2025
Cameron Payne,PG,1090,-0.1,-0.2,0.5,payneca01,NYK,2025
Landry Shamet,SG,762,-1.9,-0.6,-0.1,shamela01,NYK,2025
Jericho Sims,C,422,-3.3,-0.2,-0.2,simsje01,NYK,2025
Tyler Kolek,PG,296,-2.6,-0.3,-0.1,kolekty01,NYK,2025
Mitchell Robinson,C,290,1.5,1.8,0.4,robinmi01,NYK,2025
Delon Wright,PG,230,-0.6,1.1,0.1,wrighde01,NYK,2025
Ariel Hukporti,C,217,-6.5,0.9,-0.2,hukpoar01,NYK,2025
Pacome Dadiet,SG,111,-4.9,-1.5,-0.1,dadiepa01,NYK,2025
Matt Ryan,SF,68,-5.1,-2.3,-0.1,ryanma01,NYK,2025
P.J. Tucker,SF,58,-4.8,-2.4,-0.1,tuckepj01,NYK,2025
Jacob Toppin,SF,49,-6.4,0.4,0.0,toppija01,NYK,2025
Kevin McCullar Jr.,SF,29,-8.5,1.3,0.0,mcculke01,NYK,2025
Anton Watson,SF,22,-8.3,-1.8,0.0,watsoan02,NYK,2025
MarJon Beauchamp,SF,17,3.4,0.3,0.0,beaucma01,NYK,2025
