Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Kelly Oubre Jr.,SF,2078,-1.7,-0.6,-0.1,oubreke01,PHI,2025
Tyrese Maxey,PG,1960,3.2,-1.1,2.0,maxeyty01,PHI,2025
Guerschon Yabusele,C,1895,0.1,-1.1,0.5,yabusgu01,PHI,2025
Paul George,PF,1334,-0.5,0.1,0.5,georgpa01,PHI,2025
Ricky Council IV,SF,1250,-2.0,-2.3,-0.7,councri01,PHI,2025
Justin Edwards,SF,1155,-2.1,-1.6,-0.5,edwarju01,PHI,2025
Caleb Martin,SF,943,-2.3,-0.2,-0.1,martica02,PHI,2025
Quentin Grimes,SG,943,2.7,-1.5,0.8,grimequ01,PHI,2025
Adem Bona,C,905,-2.9,0.2,-0.2,bonaad01,PHI,2025
Eric Gordon,SG,768,-0.8,-0.8,0.1,gordoer01,PHI,2025
Andre Drummond,C,751,-2.4,-0.8,-0.2,drumman01,PHI,2025
Jared Butler,SG,682,-0.4,-1.7,0.0,butleja02,PHI,2025
Kyle Lowry,PG,659,-2.8,1.5,0.1,lowryky01,PHI,2025
Jeff Dowtin Jr.,PG,621,0.7,-0.5,0.3,dowtije01,PHI,2025
Jared McCain,SG,592,1.8,-1.6,0.3,mccaija01,PHI,2025
Joel Embiid,C,574,3.7,-0.3,0.8,embiijo01,PHI,2025
KJ Martin,PF,480,-2.1,0.3,0.0,martike04,PHI,2025
Lonnie Walker IV,SG,477,0.0,-2.4,0.0,walkelo01,PHI,2025
Reggie Jackson,PG,384,-3.2,-0.8,-0.2,jacksre01,PHI,2025
Jalen Hood-Schifino,SG,301,-4.5,-2.6,-0.4,hoodsja01,PHI,2025
Marcus Bagley,SF,253,-3.4,-0.9,-0.1,baglema02,PHI,2025
Alex Reese,PF,214,-1.1,-0.3,0.0,reeseal01,PHI,2025
Chuma Okeke,PF,171,2.3,-2.0,0.1,okekech01,PHI,2025
Oshae Brissett,SF,142,-3.7,-2.6,-0.1,brissos01,PHI,2025
Colin Castleton,C,98,-0.3,-1.7,0.0,castlco01,PHI,2025
Pete Nance,C,68,-4.4,-1.9,-0.1,nancepe01,PHI,2025
Phillip Wheeler,PF,44,-12.0,-6.2,-0.2,wheelph02,PHI,2025
David Roddy,PF,29,3.2,-0.4,0.0,roddyda01,PHI,2025
Isaiah Mobley,PF,17,0.0,4.8,0.0,mobleis01,PHI,2025
Lester Quiñones,SG,17,-3.7,-6.8,0.0,quinole01,PHI,2025
