Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Christian Braun,SG,2675,0.8,-0.5,1.6,braunch01,DEN,2025
Michael Porter Jr.,SF,2593,1.6,-1.7,1.2,portemi01,DEN,2025
Nikola Jokić,C,2571,9.9,3.3,9.8,jokicni01,DEN,2025
Jamal Murray,PG,2418,1.8,-1.0,1.7,murraja01,DEN,2025
Russell Westbrook,PG,2092,-0.9,-0.2,0.5,westbru01,DEN,2025
Peyton Watson,SF,1656,-2.1,0.3,0.1,watsope01,DEN,2025
Aaron Gordon,PF,1447,2.7,-1.5,1.2,gordoaa01,DEN,2025
Julian Strawther,SG,1384,-3.1,-1.4,-0.9,strawju01,DEN,2025
DeAndre Jordan,C,691,-1.4,0.2,0.2,jordade01,DEN,2025
Jalen Pickett,SG,666,-0.8,-0.7,0.1,pickeja02,DEN,2025
Zeke Nnaji,PF,608,-2.1,0.7,0.1,nnajize01,DEN,2025
Hunter Tyson,PF,400,-3.3,-1.5,-0.3,tysonhu01,DEN,2025
Dario Šarić,C,210,-4.4,-0.4,-0.1,saricda01,DEN,2025
Vlatko Čančar,PF,136,-6.5,-0.6,-0.2,cancavl01,DEN,2025
Spencer Jones,SF,125,-7.7,-0.8,-0.2,jonessp01,DEN,2025
Trey Alexander,SG,117,-7.9,-1.8,-0.2,alexatr01,DEN,2025
PJ Hall,C,66,-0.7,-0.6,0.0,hallpj01,DEN,2025
