Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Miles Bridges,PF,2029,2.3,-0.5,2.0,bridgmi02,CHO,2025
Josh Green,SG,1887,-4.5,0.2,-1.1,greenjo02,CHO,2025
LaMelo Ball,PG,1505,4.1,-0.9,2.0,ballla01,CHO,2025
Nick Smith Jr.,SG,1369,-3.2,-2.6,-1.3,smithni01,CHO,2025
Tidjane Salaün,PF,1244,-4.3,-0.8,-1.0,salauti01,CHO,2025
Moussa Diabaté,C,1241,-1.4,-0.4,0.0,diabamo01,CHO,2025
Mark Williams,C,1171,2.5,0.9,1.6,willima07,CHO,2025
DaQuan Jeffries,SG,1071,-4.0,-0.7,-0.7,jeffrda01,CHO,2025
Seth Curry,SG,1062,-0.8,-0.9,0.1,curryse01,CHO,2025
Cody Martin,SF,967,-2.3,1.1,0.2,martico01,CHO,2025
Brandon Miller,SF,924,0.8,-0.8,0.4,millebr02,CHO,2025
KJ Simpson,PG,842,-4.5,-0.9,-0.7,simpskj01,CHO,2025
Vasilije Micić,PG,764,-4.4,-2.4,-0.9,micicva01,CHO,2025
Grant Williams,PF,479,-2.3,0.7,0.1,willigr01,CHO,2025
Jusuf Nurkić,C,471,-0.1,1.4,0.4,nurkiju01,CHO,2025
Nick Richards,C,440,-2.3,0.2,0.0,richani01,CHO,2025
Taj Gibson,C,409,-5.2,-0.1,-0.3,gibsota01,CHO,2025
Damion Baugh,SG,370,-5.9,-1.2,-0.5,baughda01,CHO,2025
Tre Mann,PG,319,-0.6,-1.9,0.0,manntr01,CHO,2025
Wendell Moore Jr.,SG,280,-3.2,-1.5,-0.2,moorewe01,CHO,2025
Josh Okogie,SG,274,-0.3,3.3,0.4,okogijo01,CHO,2025
Isaiah Wong,SG,265,-2.9,-1.0,-0.1,wongis01,CHO,2025
Elfrid Payton,PG,123,-9.9,0.7,-0.2,paytoel01,CHO,2025
Jaylen Sims,SG,112,-2.8,-1.3,-0.1,simsja01,CHO,2025
Marcus Garrett,SG,79,-5.4,-2.2,-0.1,garrema01,CHO,2025
Malachi Flynn,PG,44,-4.4,1.5,0.0,flynnma01,CHO,2025
Jared Rhoden,SG,12,-7.4,-1.2,0.0,rhodeja01,CHO,2025
