Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Dwayne Bacon,SG,1853,-3.7,-1.4,-1.5,bacondw01,ORL,2021
Nikola Vučević,C,1500,5.5,0.4,3.0,vucevni01,ORL,2021
Terrence Ross,SG,1347,-1.4,-0.8,-0.1,rosste01,ORL,2021
Cole Anthony,PG,1273,-1.9,-1.4,-0.4,anthoco01,ORL,2021
Chuma Okeke,PF,1133,-1.9,0.5,0.1,okekech01,ORL,2021
James Ennis III,SF,986,-1.9,-0.3,-0.1,ennisja01,ORL,2021
Khem Birch,C,952,-1.7,0.1,0.1,birchkh01,ORL,2021
Chasson Randle,PG,837,-4.8,-1.1,-0.8,randlch01,ORL,2021
Michael Carter-Williams,SG,800,-4.6,-0.2,-0.6,cartemi01,ORL,2021
Evan Fournier,SF,787,2.3,-0.6,0.7,fournev01,ORL,2021
Aaron Gordon,PF,736,0.5,0.1,0.5,gordoaa01,ORL,2021
Mo Bamba,C,725,0.2,0.0,0.4,bambamo01,ORL,2021
R.J. Hampton,SG,655,-2.0,-1.3,-0.2,hamptrj01,ORL,2021
Gary Clark,SF,637,-4.2,-0.7,-0.5,clarkga01,ORL,2021
Wendell Carter Jr.,C,583,-0.8,-1.0,0.0,cartewe01,ORL,2021
Gary Harris,SG,499,-3.6,-2.2,-0.5,harriga01,ORL,2021
Al-Farouq Aminu,PF,367,-4.4,1.3,-0.1,aminual01,ORL,2021
Moritz Wagner,C,286,-2.9,-1.2,-0.1,wagnemo01,ORL,2021
Ignas Brazdeikis,SF,234,-2.8,-2.0,-0.2,brazdig01,ORL,2021
Markelle Fultz,PG,215,-3.6,-0.9,-0.1,fultzma01,ORL,2021
Jordan Bone,PG,196,-3.0,-1.2,-0.1,bonejo01,ORL,2021
Donta Hall,PF,179,0.9,0.6,0.2,halldo01,ORL,2021
Sindarius Thornwell,SG,144,-5.5,1.1,-0.1,thornsi01,ORL,2021
Robert Franks,PF,101,0.7,-0.8,0.0,frankro01,ORL,2021
Karim Mané,PG,88,-9.1,-0.8,-0.2,maneka01,ORL,2021
Frank Mason III,PG,79,-5.2,-2.4,-0.1,masonfr01,ORL,2021
Devin Cannady,PG,74,-4.0,1.0,0.0,cannade01,ORL,2021
Otto Porter Jr.,PF,66,-3.5,1.7,0.0,porteot01,ORL,2021
