Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jordan Poole,PG,2458,-0.1,-1.8,0.1,poolejo01,GSW,2023
Draymond Green,PF,2297,-1.8,2.6,1.6,greendr01,GSW,2023
Klay Thompson,SF,2279,1.5,-1.7,1.0,thompkl01,GSW,2023
Kevon Looney,C,1958,0.9,1.3,2.0,looneke01,GSW,2023
Stephen Curry,PG,1941,7.5,0.1,4.7,curryst01,GSW,2023
Donte DiVincenzo,SG,1894,-0.6,1.3,1.3,divindo01,GSW,2023
Jonathan Kuminga,PF,1394,-1.7,-0.1,0.1,kuminjo01,GSW,2023
Anthony Lamb,SF,1195,-1.6,0.4,0.3,lamban01,GSW,2023
Andrew Wiggins,SF,1190,-0.1,-0.4,0.5,wiggian01,GSW,2023
Moses Moody,SG,817,-1.7,-0.9,-0.1,moodymo01,GSW,2023
Ty Jerome,SG,816,-1.1,0.3,0.3,jeromty01,GSW,2023
JaMychal Green,PF,797,-0.7,0.2,0.3,greenja01,GSW,2023
James Wiseman,C,262,-1.3,-0.5,0.0,wisemja01,GSW,2023
Patrick Baldwin Jr.,SF,226,-0.7,-1.4,0.0,baldwpa01,GSW,2023
Andre Iguodala,PF,113,-4.3,1.7,0.0,iguodan01,GSW,2023
Gary Payton II,SG,112,0.5,1.9,0.1,paytoga02,GSW,2023
Ryan Rollins,PG,62,-11.3,-3.7,-0.2,rolliry01,GSW,2023
Lester Quiñones,SG,18,-6.4,-3.7,0.0,quinole01,GSW,2023
