Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Brook Lopez,C,2373,0.8,1.3,2.5,lopezbr01,MIL,2023
Jrue Holiday,PG,2183,3.0,0.1,2.8,holidjr01,MIL,2023
Giannis Antetokounmpo,PF,2024,5.8,2.7,5.4,antetgi01,MIL,2023
Grayson Allen,SG,1972,-0.6,0.7,1.0,allengr01,MIL,2023
Bobby Portis,PF,1818,1.2,-0.6,1.2,portibo01,MIL,2023
Jevon Carter,PG,1810,-1.9,1.2,0.6,carteje01,MIL,2023
Pat Connaughton,SF,1443,-1.3,0.3,0.3,connapa01,MIL,2023
Joe Ingles,SF,1044,-1.6,0.8,0.3,inglejo01,MIL,2023
Wesley Matthews,SF,820,-3.4,0.8,-0.1,matthwe02,MIL,2023
Khris Middleton,SF,801,1.0,-0.3,0.6,middlkh01,MIL,2023
MarJon Beauchamp,SF,701,-4.1,-0.6,-0.5,beaucma01,MIL,2023
George Hill,PG,668,-2.8,1.2,0.0,hillge01,MIL,2023
Jordan Nwora,SF,597,-2.0,-0.4,0.0,nworajo01,MIL,2023
A.J. Green,SG,345,-0.3,-0.6,0.1,greenaj01,MIL,2023
Jae Crowder,PF,340,0.1,1.1,0.3,crowdja01,MIL,2023
Sandro Mamukelashvili,C,217,-4.0,0.4,-0.1,mamuksa01,MIL,2023
Thanasis Antetokounmpo,PF,206,-6.5,-1.1,-0.3,antetth01,MIL,2023
Serge Ibaka,C,185,-4.6,0.0,-0.1,ibakase01,MIL,2023
Meyers Leonard,C,114,-2.8,-2.2,-0.1,leoname01,MIL,2023
Lindell Wigginton,PG,87,-3.1,-3.6,-0.1,wiggili01,MIL,2023
Goran Dragić,PG,83,-2.3,-2.9,-0.1,dragigo01,MIL,2023
