Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Lauri Markkanen,PF,2273,4.9,-1.0,3.3,markkla01,UTA,2023
Jordan Clarkson,SG,1988,1.0,-2.4,0.3,clarkjo01,UTA,2023
Kelly Olynyk,C,1942,-0.4,0.9,1.2,olynyke01,UTA,2023
Walker Kessler,C,1703,1.4,1.5,2.1,kesslwa01,UTA,2023
Malik Beasley,SG,1472,-0.4,-1.2,0.2,beaslma01,UTA,2023
Talen Horton-Tucker,SG,1313,-1.1,-0.5,0.2,hortota01,UTA,2023
Mike Conley,PG,1276,0.7,-0.5,0.7,conlemi01,UTA,2023
Jarred Vanderbilt,PF,1254,0.0,1.5,1.1,vandeja01,UTA,2023
Ochai Agbaji,SG,1209,-1.7,-1.4,-0.3,agbajoc01,UTA,2023
Collin Sexton,PG,1145,0.1,-1.5,0.2,sextoco01,UTA,2023
Rudy Gay,PF,816,-3.6,-0.4,-0.4,gayru01,UTA,2023
Simone Fontecchio,SF,766,-3.0,-2.1,-0.6,fontesi01,UTA,2023
Kris Dunn,PG,568,0.7,1.7,0.6,dunnkr01,UTA,2023
Nickeil Alexander-Walker,SG,528,-0.6,1.1,0.3,alexani01,UTA,2023
Udoka Azubuike,C,359,-1.2,0.5,0.1,azubuud01,UTA,2023
Juan Toscano-Anderson,SF,335,-4.7,0.4,-0.2,toscaju01,UTA,2023
Damian Jones,C,301,-1.7,0.2,0.0,jonesda03,UTA,2023
Johnny Juzang,SG,232,-4.3,-2.2,-0.3,juzanjo01,UTA,2023
Luka Šamanić,PF,161,-3.2,1.1,0.0,samanlu01,UTA,2023
Leandro Bolmaro,SF,68,-12.4,-2.3,-0.2,bolmale01,UTA,2023
Micah Potter,PF,52,2.4,1.2,0.1,pottemi01,UTA,2023
Jarrell Brantley,PF,39,3.1,0.4,0.1,brantja01,UTA,2023
Frank Jackson,PG,5,-12.5,-9.8,0.0,jacksfr01,UTA,2023
