Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Dejounte Murray,SG,2693,1.1,0.0,2.1,murrade01,ATL,2023
Trae Young,PG,2541,5.3,-2.0,3.4,youngtr01,ATL,2023
John Collins,PF,2130,-1.4,0.2,0.4,collijo01,ATL,2023
De'Andre Hunter,SF,2126,-1.9,-1.4,-0.7,huntede01,ATL,2023
Onyeka Okongwu,C,1849,0.0,0.8,1.3,okongon01,ATL,2023
Clint Capela,C,1730,2.3,-0.1,1.8,capelca01,ATL,2023
Bogdan Bogdanović,SG,1508,1.1,-0.7,0.9,bogdabo01,ATL,2023
AJ Griffin,SF,1401,-0.3,-0.5,0.4,griffaj01,ATL,2023
Jalen Johnson,SF,1042,-1.2,1.5,0.6,johnsja05,ATL,2023
Aaron Holiday,PG,845,-2.9,0.9,0.0,holidaa01,ATL,2023
Saddiq Bey,SF,629,1.7,-1.2,0.4,beysa01,ATL,2023
Justin Holiday,SF,411,-3.1,-0.6,-0.2,holidju01,ATL,2023
Trent Forrest,SG,277,-5.3,0.2,-0.2,forretr01,ATL,2023
Frank Kaminsky,C,176,0.7,1.8,0.2,kaminfr01,ATL,2023
Vit Krejci,PG,165,-4.2,0.6,-0.1,krejcvi01,ATL,2023
Jarrett Culver,SF,137,-4.8,0.6,-0.1,culveja01,ATL,2023
Garrison Mathews,SG,84,0.7,-2.4,0.0,mathega01,ATL,2023
Tyrese Martin,SG,66,-4.2,-3.1,-0.1,martity01,ATL,2023
Bruno Fernando,C,41,-2.6,-2.4,0.0,fernabr01,ATL,2023
Donovan Williams,SG,4,-9.1,-6.1,0.0,willido02,ATL,2023
