Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Buddy Hield,SF,2482,2.5,-0.6,2.4,hieldbu01,IND,2023
Bennedict Mathurin,SG,2222,-1.2,-2.5,-1.0,mathube01,IND,2023
Andrew Nembhard,SG,2073,-2.4,-0.8,-0.6,nembhan01,IND,2023
Tyrese Haliburton,PG,1883,7.0,0.2,4.4,halibty01,IND,2023
Myles Turner,C,1825,1.4,0.7,1.9,turnemy01,IND,2023
Aaron Nesmith,SF,1816,-2.3,-0.7,-0.4,nesmiaa01,IND,2023
T.J. McConnell,PG,1526,0.4,0.1,1.0,mccontj01,IND,2023
Jalen Smith,C,1279,-0.9,-1.1,0.0,smithja04,IND,2023
Oshae Brissett,PF,1083,-2.0,-1.2,-0.3,brissos01,IND,2023
Isaiah Jackson,C,1042,-1.7,0.9,0.3,jacksis01,IND,2023
Chris Duarte,SF,897,-2.9,-1.6,-0.6,duartch01,IND,2023
Jordan Nwora,SF,591,0.4,-2.2,0.0,nworajo01,IND,2023
Terry Taylor,PF,228,-3.4,-1.9,-0.2,taylote01,IND,2023
Goga Bitadze,C,202,-2.3,1.2,0.0,bitadgo01,IND,2023
George Hill,SG,166,-0.6,0.0,0.1,hillge01,IND,2023
James Johnson,PF,162,-5.7,1.2,-0.1,johnsja01,IND,2023
Daniel Theis,C,109,-0.9,-0.5,0.0,theisda01,IND,2023
Trevelin Queen,SG,70,-5.6,-1.5,-0.1,queentr01,IND,2023
Gabe York,SG,56,-1.7,-1.8,0.0,yorkga01,IND,2023
Kendall Brown,SG,40,-7.0,4.0,0.0,brownke03,IND,2023
