Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jerami Grant,PF,2246,1.2,-1.4,1.0,grantje01,POR,2023
Anfernee Simons,SG,2171,1.3,-2.5,0.5,simonan01,POR,2023
Damian Lillard,PG,2107,8.3,-1.2,4.9,lillada01,POR,2023
Shaedon Sharpe,SG,1779,-1.3,-2.0,-0.6,sharpsh01,POR,2023
Josh Hart,SF,1704,-0.9,0.7,0.8,hartjo01,POR,2023
Drew Eubanks,C,1584,-0.9,0.9,0.8,eubandr01,POR,2023
Jusuf Nurkić,C,1391,-0.6,0.7,0.7,nurkiju01,POR,2023
Trendon Watford,PF,1182,-1.4,-0.4,0.1,watfotr01,POR,2023
Nassir Little,SF,976,-1.6,-1.4,-0.3,littlna01,POR,2023
Justise Winslow,PF,776,-3.4,0.6,-0.2,winslju01,POR,2023
Jabari Walker,PF,619,-3.9,-2.1,-0.6,walkeja01,POR,2023
Matisse Thybulle,SG,609,-2.2,1.1,0.1,thybuma01,POR,2023
Cam Reddish,SF,552,-3.0,-1.4,-0.3,reddica01,POR,2023
Keon Johnson,SG,416,-3.8,-1.6,-0.4,johnske07,POR,2023
Kevin Knox,PF,359,-2.0,-2.7,-0.2,knoxke01,POR,2023
Gary Payton II,SG,255,-2.0,1.4,0.1,paytoga02,POR,2023
John Butler,C,221,-5.4,-0.8,-0.2,butlejo01,POR,2023
Skylar Mays,PG,189,2.1,-2.1,0.1,mayssk01,POR,2023
Ryan Arcidiacono,PG,146,-7.0,-2.4,-0.3,arcidry01,POR,2023
Jeenathan Williams,SG,127,-1.0,-2.1,0.0,willije02,POR,2023
Shaquille Harrison,SG,120,-2.5,2.6,0.1,harrish01,POR,2023
Greg Brown III,PF,93,-8.5,0.0,-0.2,browngr01,POR,2023
Justin Minaya,SF,89,-7.2,-1.9,-0.2,minayju01,POR,2023
Chance Comanche,C,21,-2.6,-4.9,0.0,comanch01,POR,2023
