Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Evan Mobley,PF,2715,0.0,1.6,2.5,mobleev01,CLE,2023
Darius Garland,PG,2447,3.2,-0.7,2.7,garlada01,CLE,2023
Donovan Mitchell,SG,2432,5.6,0.6,5.0,mitchdo01,CLE,2023
Caris LeVert,SG,2237,-1.0,0.8,1.0,leverca01,CLE,2023
Jarrett Allen,C,2220,1.3,1.0,2.4,allenja01,CLE,2023
Isaac Okoro,SF,1652,-1.9,1.6,0.7,okorois01,CLE,2023
Cedi Osman,SF,1548,-0.8,0.2,0.5,osmande01,CLE,2023
Lamar Stevens,SF,1120,-3.0,0.2,-0.2,stevela01,CLE,2023
Dean Wade,PF,891,-2.9,2.1,0.3,wadede01,CLE,2023
Kevin Love,PF,821,0.8,0.6,0.7,loveke01,CLE,2023
Ricky Rubio,PG,566,-3.8,1.1,-0.1,rubiori01,CLE,2023
Raul Neto,PG,505,-1.7,1.5,0.2,netora01,CLE,2023
Robin Lopez,C,299,-3.4,0.3,-0.1,lopezro01,CLE,2023
Mamadi Diakite,C,176,-4.9,1.6,-0.1,diakima01,CLE,2023
Danny Green,SG,95,0.5,0.7,0.1,greenda02,CLE,2023
Isaiah Mobley,PF,84,-2.5,1.1,0.0,mobleis01,CLE,2023
Sam Merrill,SG,59,-1.2,2.5,0.0,merrisa01,CLE,2023
Dylan Windler,SF,10,3.2,3.5,0.0,windldy01,CLE,2023
