Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Zach LaVine,SG,2768,2.7,-0.7,2.7,lavinza01,CHI,2023
Nikola Vučević,C,2746,1.9,0.7,3.2,vucevni01,CHI,2023
DeMar DeRozan,SF,2682,1.7,0.3,2.6,derozde01,CHI,2023
Patrick Williams,PF,2323,-1.7,0.4,0.4,willipa01,CHI,2023
Ayo Dosunmu,SG,2098,-3.0,0.6,-0.2,dosunay01,CHI,2023
Coby White,SG,1730,-1.0,0.2,0.5,whiteco01,CHI,2023
Alex Caruso,PG,1575,-2.2,3.3,1.2,carusal01,CHI,2023
Derrick Jones Jr.,PF,893,-1.2,0.8,0.3,jonesde02,CHI,2023
Andre Drummond,C,849,-1.2,0.5,0.3,drumman01,CHI,2023
Goran Dragić,PG,787,-2.1,-1.6,-0.3,dragigo01,CHI,2023
Patrick Beverley,PG,605,-2.4,2.2,0.3,beverpa01,CHI,2023
Javonte Green,SF,480,-1.1,2.5,0.4,greenja02,CHI,2023
Dalen Terry,SG,214,-1.7,1.7,0.1,terryda01,CHI,2023
Carlik Jones,PG,56,-2.8,0.4,0.0,jonesca03,CHI,2023
Terry Taylor,PF,36,4.6,-0.9,0.1,taylote01,CHI,2023
Tony Bradley,C,33,4.4,0.5,0.1,bradlto01,CHI,2023
Marko Simonovic,C,20,-10.5,-3.8,-0.1,simonma01,CHI,2023
Malcolm Hill,SF,9,1.6,0.8,0.0,hillma01,CHI,2023
