Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jayson Tatum,SF,2732,4.8,0.7,5.1,tatumja01,BOS,2023
Jaylen Brown,SF,2405,1.5,-0.2,2.0,brownja02,BOS,2023
Derrick White,SG,2319,1.1,1.3,2.6,whitede01,BOS,2023
Grant Williams,PF,2045,-1.8,0.7,0.5,willigr01,BOS,2023
Marcus Smart,PG,1957,-1.8,0.8,0.5,smartma01,BOS,2023
Al Horford,C,1922,1.6,1.7,2.5,horfoal01,BOS,2023
Malcolm Brogdon,PG,1744,2.3,0.6,2.1,brogdma01,BOS,2023
Sam Hauser,SF,1290,0.6,0.4,1.0,hausesa01,BOS,2023
Robert Williams,C,824,1.0,2.4,1.1,williro04,BOS,2023
Luke Kornet,C,804,-0.4,1.3,0.6,kornelu01,BOS,2023
Payton Pritchard,PG,643,-2.1,-1.2,-0.2,pritcpa01,BOS,2023
Blake Griffin,C,569,-1.4,1.5,0.3,griffbl01,BOS,2023
Mike Muscala,C,323,-1.5,0.1,0.1,muscami01,BOS,2023
Noah Vonleh,C,171,-7.0,0.7,-0.2,vonleno01,BOS,2023
Justin Jackson,SF,107,-4.2,1.6,0.0,jacksju01,BOS,2023
JD Davison,SG,66,-4.5,0.4,0.0,davisjd01,BOS,2023
Mfiondu Kabengele,PF,36,-6.6,-2.4,-0.1,kabenmf01,BOS,2023
Justin Champagnie,SF,23,-10.5,-5.1,-0.1,champju01,BOS,2023
