Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
Devin Booker,bookede01,PHO,2270,1.7,-1.4,1.3,SG,2021
Chris Paul,paulch01,PHO,2199,3.5,1.1,3.6,PG,2021
Deandre Ayton,aytonde01,PHO,2115,1.1,0.1,1.7,C,2021
Jae Crowder,crowdja01,PHO,1648,0.3,0.8,1.3,PF,2021
Cameron Johnson,johnsca02,PHO,1437,0.0,-0.2,0.7,PF,2021
Cameron Payne,payneca01,PHO,1079,2.1,1.0,1.4,PG,2021
Dario Šarić,saricda01,PHO,871,-1.4,-0.6,0.0,C,2021
Jevon Carter,carteje01,PHO,717,-0.4,0.9,0.5,PG,2021
Frank Kaminsky,kaminfr01,PHO,715,0.4,0.8,0.6,C,2021
Torrey Craig,craigto01,PHO,602,0.4,0.4,0.4,SF,2021
Langston Galloway,gallola01,PHO,438,-0.1,-0.8,0.1,SG,2021
E'Twaun Moore,mooreet01,PHO,389,-3.1,0.2,-0.1,SG,2021
Abdel Nader,naderab01,PHO,355,-1.0,1.0,0.2,SF,2021
Jalen Smith,smithja04,PHO,156,-4.8,-1.3,-0.2,PF,2021
Damian Jones,jonesda03,PHO,94,-7.0,1.1,-0.1,C,2021
Ty-Shon Alexander,alexaty01,PHO,47,-4.8,-1.7,-0.1,SG,2021
Dejounte Murray,murrade01,SAS,2139,-0.2,1.0,1.5,PG,2021
DeMar DeRozan,derozde01,SAS,2056,3.2,-0.1,2.6,PF,2021
Keldon Johnson,johnske04,SAS,1968,-0.9,-0.7,0.2,SF,2021
Jakob Poeltl,poeltja01,SAS,1845,-0.5,1.2,1.3,C,2021
Patty Mills,millspa02,SAS,1685,0.0,-1.2,0.4,PG,2021
Lonnie Walker IV,walkelo01,SAS,1522,-2.3,-1.4,-0.7,SG,2021
Rudy Gay,gayru01,SAS,1358,-0.1,0.0,0.6,PF,2021
Derrick White,whitede01,SAS,1064,1.3,0.0,0.9,SG,2021
Devin Vassell,vassede01,SAS,1056,-2.2,0.7,0.1,SF,2021
Drew Eubanks,eubandr01,SAS,755,-1.0,1.0,0.4,C,2021
LaMarcus Aldridge,aldrila01,SAS,544,-0.2,-0.7,0.2,C,2021
Trey Lyles,lylestr01,SAS,358,-1.3,-0.5,0.0,PF,2021
Luka Šamanić,samanlu01,SAS,308,-4.2,-0.7,-0.2,PF,2021
Tre Jones,jonestr01,SAS,269,-2.2,-1.3,-0.1,PG,2021
Keita Bates-Diop,bateske01,SAS,245,-2.3,0.4,0.0,SF,2021
Gorgui Dieng,dienggo01,SAS,181,2.0,1.5,0.2,C,2021
Quinndary Weatherspoon,weathqu01,SAS,121,-5.8,0.7,-0.1,SG,2021
Cameron Reynolds,reynoca01,SAS,6,-4.4,-3.6,0.0,SF,2021
Jae'Sean Tate,tateja01,HOU,2043,-1.6,0.3,0.3,SF,2021
Christian Wood,woodch01,HOU,1326,1.7,-0.3,1.1,C,2021
John Wall,walljo01,HOU,1288,1.2,-1.9,0.4,PG,2021
Sterling Brown,brownst02,HOU,1229,-1.6,0.0,0.1,SG,2021
KJ Martin,martike04,HOU,1068,-1.4,-0.4,0.0,SF,2021
P.J. Tucker,tuckepj01,HOU,959,-5.3,0.7,-0.6,PF,2021
Danuel House Jr.,houseda01,HOU,932,-2.8,-0.7,-0.3,SF,2021
Kelly Olynyk,olynyke01,HOU,840,2.9,0.9,1.2,PF,2021
