Player,Player-additional,Tm,Salary,Year
Montrezl Harrell,harremo01,LAL,9258000,2021
Jae Crowder,crowdja01,PHO,9258000,2021
Serge Ibaka,ibakase01,LAC,9258000,2021
Derrick Jones Jr.,jonesde02,POR,9258000,2021
Tristan Thompson,thomptr01,BOS,9258000,2021
Derrick Favors,favorde01,UTA,9258000,2021
Dario Šarić,saricda01,PHO,9250000,2021
Ja Morant,moranja01,MEM,9166800,2021
Delon Wright,wrighde01,SAC,9000000,2021
Marvin Bagley III,baglema01,SAC,8963640,2021
Cedi Osman,osmande01,CLE,8840580,2021
Tyus Jones,jonesty01,MEM,8817143,2021
James Wiseman,wisemja01,GSW,8730240,2021
Royce O'Neale,onealro01,UTA,8500000,2021
Thomas Bryant,bryanth01,WAS,8333333,2021
C.J. Miles,milescj01,BOS,8333333,2021
Maxi Kleber,klebima01,DAL,8325000,2021
RJ Barrett,barrerj01,NYK,8231760,2021
Jakob Poeltl,poeltja01,SAS,8101852,2021
De'Aaron Fox,foxde01,SAC,8099627,2021
Luka Dončić,doncilu01,DAL,8049360,2021
Mason Plumlee,plumlma01,DET,8000000,2021
Lou Williams,willilo02,ATL,8000000,2021
P.J. Tucker,tuckepj01,MIL,7969537,2021
LaMelo Ball,ballla01,CHO,7839960,2021
Seth Curry,curryse01,PHI,7834449,2021
Derrick Rose,rosede01,NYK,7682927,2021
Cristiano Felício,feliccr01,CHI,7529020,2021
Rajon Rondo,rondora01,LAC,7500000,2021
De'Andre Hunter,huntede01,ATL,7422000,2021
Doug McDermott,mcderdo01,IND,7333333,2021
Robin Lopez,lopezro01,WAS,7300000,2021
Jaren Jackson Jr.,jacksja02,MEM,7257360,2021
JaMychal Green,greenja01,DEN,7199760,2021
Patrick Williams,willipa01,CHI,7068360,2021
Aron Baynes,baynear01,TOR,7000000,2021
Darius Miller,milleda01,OKC,7000000,2021
Ivica Zubac,zubaciv01,LAC,7000000,2021
Chris Boucher,bouchch01,TOR,6750000,2021
Lauri Markkanen,markkla01,CHI,6731508,2021
Darius Garland,garlada01,CLE,6720720,2021
D.J. Augustin,augusdj01,HOU,6666667,2021
Trae Young,youngtr01,ATL,6571800,2021
Juancho Hernangómez,hernaju01,MIN,6493000,2021
Isaac Okoro,okorois01,CLE,6400920,2021
Frank Ntilikina,ntilila01,NYK,6176578,2021
Jarrett Culver,culveja01,MIN,6104280,2021
Ish Smith,smithis01,WAS,6000000,2021
Alec Burks,burksal01,NYK,6000000,2021
Mo Bamba,bambamo01,ORL,5969040,2021
Onyeka Okongwu,okongon01,ATL,5813640,2021
Justin Holiday,holidju01,IND,5720000,2021
Dennis Smith Jr.,smithde03,DET,5686677,2021
Avery Bradley,bradlav01,HOU,5635000,2021
Coby White,whiteco01,CHI,5572680,2021
Trey Lyles,lylestr01,SAS,5500000,2021
Wendell Carter Jr.,cartewe01,ORL,5448840,2021
Zach Collins,colliza01,CHI,5406255,2021
Malik Monk,monkma01,CHO,5345687,2021
Killian Hayes,hayeski01,DET,5307120,2021
Luke Kennard,kennalu01,LAC,5273826,2021
Donovan Mitchell,mitchdo01,UTA,5195501,2021
Rodney McGruder,mcgruro01,DET,5192307,2021
Bam Adebayo,adebaba01,MIA,5115492,2021
Jaxson Hayes,hayesja02,NOP,5105160,2021
Richaun Holmes,holmeri01,SAC,5005350,2021
Mike Scott,scottmi01,PHI,5005350,2021
Ed Davis,davised01,MIN,5005350,2021
Enes Freedom,kanteen01,POR,5005350,2021
Nerlens Noel,noelne01,NYK,5000000,2021
Daniel Theis,theisda01,CHI,5000000,2021
Collin Sexton,sextoco01,CLE,4991880,2021
Pat Connaughton,connapa01,MIL,4938272,2021
Obi Toppin,toppiob01,NYK,4862040,2021
Josh Jackson,jacksjo02,DET,4767000,2021
Garrett Temple,templga01,CHI,4767000,2021
Kris Dunn,dunnkr01,ATL,4767000,2021
Rui Hachimura,hachiru01,WAS,4692840,2021
Denzel Valentine,valende01,CHI,4642800,2021
Kevin Knox,knoxke01,NYK,4588680,2021
D.J. Wilson,wilsodj01,HOU,4548280,2021
Deni Avdija,avdijde01,WAS,4469160,2021
Kevon Looney,looneke01,GSW,4464226,2021
Cam Reddish,reddica01,ATL,4458000,2021
T.J. Leaf,leaftj01,POR,4326825,2021
Jalen Smith,smithja04,PHO,4245720,2021
JaVale McGee,mcgeeja01,DEN,4200000,2021
Reggie Bullock,bullore01,NYK,4200000,2021
Mikal Bridges,bridgmi01,PHO,4161000,2021
Shai Gilgeous-Alexander,gilgesh01,OKC,4141320,2021
John Collins,collijo01,ATL,4137302,2021
Nicolò Melli,mellini01,DAL,4102564,2021
Willie Cauley-Stein,caulewi01,DAL,4100000,2021
Devin Vassell,vassede01,SAS,4033440,2021
Cameron Johnson,johnsca02,PHO,4033440,2021
P.J. Washington,washipj01,CHO,4023600,2021
Patrick McCaw,mccawpa01,TOR,4000000,2021
Dorian Finney-Smith,finnedo01,DAL,4000000,2021
Terrance Ferguson,fergute01,PHI,3944013,2021
Miles Bridges,bridgmi02,CHO,3934320,2021
Jevon Carter,carteje01,PHO,3925000,2021
Jarrett Allen,allenja01,CLE,3909902,2021
OG Anunoby,anunoog01,TOR,3872215,2021
Gabriel Deck,deckga01,OKC,3870370,2021
Tyrese Haliburton,halibty01,SAC,3831840,2021
Stanley Johnson,johnsst04,TOR,3804150,2021
Jake Layman,laymaja01,MIN,3761085,2021
Jerome Robinson,robinje01,WAS,3737520,2021
Danuel House Jr.,houseda01,HOU,3717000,2021
Kira Lewis Jr.,lewiski01,NOP,3640200,2021
Romeo Langford,langfro01,BOS,3631200,2021
Bobby Portis,portibo01,MIL,3623000,2021
Maurice Harkless,harklma01,SAC,3623000,2021
Wesley Matthews,matthwe02,LAL,3623000,2021
Kyle Kuzma,kuzmaky01,LAL,3562178,2021
Michael Porter Jr.,portemi01,DEN,3550800,2021
Tony Bradley,bradlto01,OKC,3542060,2021
Derrick White,whitede01,SAS,3516284,2021
Bismack Biyombo,biyombi01,CHO,3500000,2021
T.J. McConnell,mccontj01,IND,3500000,2021
Boban Marjanović,marjabo01,DAL,3500000,2021
Josh Hart,hartjo01,NOP,3491159,2021
Aaron Nesmith,nesmiaa01,BOS,3458400,2021
