Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Dorian Finney-Smith,PF,2644,0.1,0.7,1.9,finnedo01,DAL,2022
Jalen Brunson,SG,2524,0.9,0.0,1.9,brunsja01,DAL,2022
Luka Dončić,PG,2301,6.4,1.8,5.9,doncilu01,DAL,2022
Reggie Bullock,SF,1902,-1.4,0.0,0.3,bullore01,DAL,2022
Dwight Powell,C,1798,0.4,0.5,1.3,poweldw01,DAL,2022
Maxi Kleber,PF,1450,-1.6,1.2,0.6,klebima01,DAL,2022
Tim Hardaway Jr.,SG,1245,-0.4,0.2,0.6,hardati02,DAL,2022
Josh Green,SG,1039,-2.4,1.4,0.3,greenjo02,DAL,2022
Kristaps Porziņģis,PF,1002,2.2,0.8,1.3,porzikr01,DAL,2022
Frank Ntilikina,SG,685,-2.8,0.9,0.0,ntilila01,DAL,2022
Spencer Dinwiddie,PG,650,2.8,0.1,0.8,dinwisp01,DAL,2022
Sterling Brown,SG,628,-3.4,0.5,-0.1,brownst02,DAL,2022
Trey Burke,PG,441,-3.6,-1.4,-0.3,burketr01,DAL,2022
Marquese Chriss,PF,346,-3.8,0.0,-0.2,chrisma01,DAL,2022
Dāvis Bertāns,PF,306,-0.4,-0.3,0.1,bertada01,DAL,2022
Willie Cauley-Stein,C,177,-4.1,0.9,0.0,caulewi01,DAL,2022
Moses Brown,C,169,-4.7,-0.2,-0.1,brownmo01,DAL,2022
Theo Pinson,SF,148,-1.5,1.0,0.1,pinsoth01,DAL,2022
Boban Marjanović,C,128,-3.2,-1.2,-0.1,marjabo01,DAL,2022
Brandon Knight,PG,65,-2.7,-1.9,0.0,knighbr03,DAL,2022
Carlik Jones,PG,19,-13.0,-4.3,-0.1,jonesca03,DAL,2022
George King,SF,19,-16.5,-3.5,-0.1,kingge03,DAL,2022
Eugene Omoruyi,SF,18,3.3,0.7,0.0,omorueu01,DAL,2022
Charlie Brown Jr.,SG,15,-7.7,5.1,0.0,brownch02,DAL,2022
Isaiah Thomas,PG,13,-0.6,-3.7,0.0,thomais02,DAL,2022
Moses Wright,PF,13,0.3,-0.6,0.0,wrighmo01,DAL,2022
JaQuori McLaughlin,PG,11,-9.4,-4.2,0.0,mclauja01,DAL,2022
