Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Desmond Bane,SG,2266,2.5,0.3,2.7,banede01,MEM,2022
Jaren Jackson Jr.,PF,2126,-0.9,0.8,1.0,jacksja02,MEM,2022
Steven Adams,C,1999,1.0,1.0,2.0,adamsst01,MEM,2022
Ja Morant,PG,1889,6.2,-0.1,3.9,moranja01,MEM,2022
De'Anthony Melton,SG,1657,0.3,1.6,1.6,meltode01,MEM,2022
Tyus Jones,PG,1549,1.2,0.5,1.4,jonesty01,MEM,2022
Kyle Anderson,PF,1484,-0.9,2.1,1.2,anderky01,MEM,2022
Ziaire Williams,SF,1346,-2.4,-0.6,-0.3,willizi02,MEM,2022
John Konchar,SG,1292,0.2,1.3,1.2,konchjo01,MEM,2022
Brandon Clarke,PF,1246,3.1,1.1,2.0,clarkbr01,MEM,2022
Dillon Brooks,SF,885,-1.0,-0.8,0.0,brookdi01,MEM,2022
Xavier Tillman Sr.,PF,701,-1.1,1.8,0.5,tillmxa01,MEM,2022
Killian Tillie,C,461,-3.8,1.1,-0.1,tilliki02,MEM,2022
Santi Aldama,PF,360,-4.2,-1.5,-0.3,aldamsa01,MEM,2022
Jarrett Culver,SG,338,-5.7,0.3,-0.3,culveja01,MEM,2022
Yves Pons,SF,71,-4.9,-1.7,-0.1,ponsyv01,MEM,2022
Sam Merrill,SG,58,-2.2,-3.4,-0.1,merrisa01,MEM,2022
Dakota Mathias,SG,16,-1.4,1.7,0.0,mathida01,MEM,2022
Shaq Buchanan,SG,10,-11.0,0.3,0.0,buchash01,MEM,2022
DaQuan Jeffries,SG,9,-5.8,0.9,0.0,jeffrda01,MEM,2022
Xavier Sneed,SF,8,-14.5,-5.5,0.0,sneedxa01,MEM,2022
Jon Teske,C,8,-8.5,3.7,0.0,teskejo01,MEM,2022
Tyrell Terry,PG,3,-3.4,2.5,0.0,terryty01,MEM,2022
