Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Karl-Anthony Towns,C,2476,4.5,0.5,4.4,townska01,MIN,2022
Anthony Edwards,SG,2466,1.6,-0.4,2.0,edwaran01,MIN,2022
D'Angelo Russell,PG,2077,2.2,-1.5,1.4,russeda01,MIN,2022
Malik Beasley,SG,1976,0.7,-1.5,0.7,beaslma01,MIN,2022
Jarred Vanderbilt,PF,1880,-0.8,1.0,1.1,vandeja01,MIN,2022
Jaden McDaniels,PF,1803,-2.9,-0.1,-0.4,mcdanja02,MIN,2022
Patrick Beverley,PG,1476,0.6,2.1,1.7,beverpa01,MIN,2022
Naz Reid,C,1215,-0.5,0.5,0.6,reidna01,MIN,2022
Taurean Prince,PF,1177,-1.0,0.0,0.3,princta02,MIN,2022
Jaylen Nowell,SG,975,1.5,-0.7,0.7,nowelja01,MIN,2022
Jordan McLaughlin,PG,902,-1.2,1.6,0.6,mclaujo01,MIN,2022
Josh Okogie,SG,516,-3.7,0.9,-0.1,okogijo01,MIN,2022
Nathan Knight,PF,267,-0.7,0.1,0.1,knighna01,MIN,2022
Leandro Bolmaro,SF,241,-5.1,-0.7,-0.2,bolmale01,MIN,2022
Jake Layman,SF,231,-3.3,-0.6,-0.1,laymaja01,MIN,2022
Greg Monroe,C,81,-0.3,4.8,0.1,monrogr01,MIN,2022
McKinley Wright IV,PG,19,-1.4,-2.8,0.0,wrighmc01,MIN,2022
Chris Silva,PF,3,-5.3,-0.5,0.0,silvach01,MIN,2022
