Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Shai Gilgeous-Alexander,PG,1942,2.9,0.5,2.7,gilgesh01,OKC,2022
Darius Bazley,PF,1924,-2.1,0.3,0.1,bazleda01,OKC,2022
Josh Giddey,SF,1700,-1.2,0.3,0.5,giddejo01,OKC,2022
Luguentz Dort,SG,1665,-1.5,-0.7,-0.1,dortlu01,OKC,2022
Tre Mann,PG,1367,-3.3,-1.1,-0.8,manntr01,OKC,2022
Aleksej Pokusevski,PF,1233,-2.7,0.1,-0.2,pokusal01,OKC,2022
Aaron Wiggins,SG,1209,-3.4,-0.9,-0.7,wiggiaa01,OKC,2022
Jeremiah Robinson-Earl,C,1087,-1.9,-0.4,-0.1,robinje02,OKC,2022
Kenrich Williams,SF,1072,-1.3,1.1,0.5,willike04,OKC,2022
Isaiah Roby,PF,948,0.4,0.2,0.6,robyis01,OKC,2022
Théo Maledon,PG,908,-3.7,-0.7,-0.6,maledth01,OKC,2022
Ty Jerome,SG,801,-2.2,-0.2,-0.1,jeromty01,OKC,2022
Vit Krejci,SG,690,-4.3,-1.0,-0.6,krejcvi01,OKC,2022
Derrick Favors,C,653,-2.3,0.3,0.0,favorde01,OKC,2022
Mike Muscala,C,592,3.8,1.2,1.1,muscami01,OKC,2022
Lindy Waters III,SG,465,-0.8,-0.8,0.1,waterli01,OKC,2022
Olivier Sarr,C,421,-2.7,-1.3,-0.2,sarrol01,OKC,2022
Jaylen Hoard,SF,240,1.2,-2.1,0.1,hoardja01,OKC,2022
Mamadi Diakite,PF,188,-5.9,0.9,-0.1,diakima01,OKC,2022
Zavier Simpson,PG,174,-6.0,-1.9,-0.3,simpsza01,OKC,2022
Georgios Kalaitzakis,SF,166,-4.9,-1.9,-0.2,kalaige01,OKC,2022
Paul Watson,SF,156,-4.8,-0.6,-0.1,watsopa01,OKC,2022
Melvin Frazier,SG,120,-9.7,-6.7,-0.4,frazime01,OKC,2022
Gabriel Deck,PF,56,-1.2,-1.3,0.0,deckga01,OKC,2022
Scotty Hopson,SG,18,-8.7,-2.9,0.0,hopsosc01,OKC,2022
Rob Edwards,SG,11,-8.3,-2.9,0.0,edwarro01,OKC,2022
