Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Domantas Sabonis,PF,1632,3.6,1.0,2.7,sabondo01,IND,2022
Oshae Brissett,SF,1564,-0.5,-1.7,-0.1,brissos01,IND,2022
Chris Duarte,SG,1541,-1.2,-1.1,-0.1,duartch01,IND,2022
Justin Holiday,SF,1416,-0.8,-0.8,0.1,holidju01,IND,2022
Myles Turner,C,1235,0.1,1.4,1.1,turnemy01,IND,2022
Caris LeVert,SG,1214,1.0,-1.3,0.5,leverca01,IND,2022
Malcolm Brogdon,PG,1206,2.8,-0.5,1.3,brogdma01,IND,2022
Torrey Craig,SF,1034,-1.6,-0.6,-0.1,craigto01,IND,2022
Duane Washington Jr.,PG,968,-1.9,-2.8,-0.7,washidu02,IND,2022
Tyrese Haliburton,PG,938,3.8,-1.0,1.1,halibty01,IND,2022
Buddy Hield,SG,925,1.1,-2.2,0.2,hieldbu01,IND,2022
Lance Stephenson,PG,744,-1.1,-1.7,-0.1,stephla01,IND,2022
Goga Bitadze,C,729,-0.2,-0.6,0.2,bitadgo01,IND,2022
Terry Taylor,PF,714,2.1,-2.8,0.2,taylote01,IND,2022
T.J. McConnell,PG,652,-0.4,1.4,0.5,mccontj01,IND,2022
Jeremy Lamb,SF,613,-0.2,-0.2,0.2,lambje01,IND,2022
Keifer Sykes,PG,566,-4.4,-2.4,-0.7,sykeske01,IND,2022
Jalen Smith,PF,543,2.9,-2.1,0.4,smithja04,IND,2022
Isaiah Jackson,C,541,-1.6,0.0,0.0,jacksis01,IND,2022
Kelan Martin,SF,444,-2.4,-0.9,-0.1,martike03,IND,2022
Brad Wanamaker,PG,293,-5.6,-1.0,-0.3,wanambr01,IND,2022
Justin Anderson,SF,269,-1.7,-1.6,-0.1,anderju01,IND,2022
Tristan Thompson,C,66,-3.2,-3.5,-0.1,thomptr01,IND,2022
Gabe York,SG,21,-3.7,2.2,0.0,yorkga01,IND,2022
Reggie Perry,PF,10,-7.7,-1.2,0.0,perryre01,IND,2022
Nate Hinton,SG,2,-28.1,-14.5,0.0,hintona01,IND,2022
DeJon Jarreau,SG,1,-6.5,-1.5,0.0,jarrede01,IND,2022
Ahmad Caver,SG,1,31.0,5.9,0.0,caverah01,IND,2022
