Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Tyler Herro,SG,2151,1.6,-0.9,1.5,herroty01,MIA,2022
Kyle Lowry,PG,2133,1.1,0.8,2.1,lowryky01,MIA,2022
Duncan Robinson,SG,2043,-0.3,-0.3,0.7,robindu01,MIA,2022
P.J. Tucker,PF,1981,-0.8,1.4,1.3,tuckepj01,MIA,2022
Jimmy Butler,SF,1931,4.5,1.9,4.0,butleji01,MIA,2022
Bam Adebayo,C,1825,1.7,2.1,2.7,adebaba01,MIA,2022
Gabe Vincent,PG,1589,-1.9,0.5,0.2,vincega01,MIA,2022
Max Strus,SF,1587,1.4,-0.4,1.2,strusma01,MIA,2022
Caleb Martin,SF,1372,0.1,0.9,1.1,martica02,MIA,2022
Dewayne Dedmon,C,1065,-2.2,1.1,0.3,dedmode01,MIA,2022
Omer Yurtseven,C,706,-1.4,0.4,0.2,yurtsom01,MIA,2022
Markieff Morris,PF,298,-1.5,-0.4,0.0,morrima02,MIA,2022
KZ Okpala,PF,244,-3.2,0.4,-0.1,okpalkz01,MIA,2022
Kyle Guy,SG,186,-3.1,-0.3,-0.1,guyky01,MIA,2022
Victor Oladipo,SG,173,1.8,-0.5,0.1,oladivi01,MIA,2022
Haywood Highsmith,SF,163,-3.3,-1.3,-0.1,highsha01,MIA,2022
Marcus Garrett,SG,128,-6.4,1.0,-0.1,garrema01,MIA,2022
Chris Silva,PF,88,-5.0,0.1,-0.1,silvach01,MIA,2022
Udonis Haslem,C,83,-6.4,-0.7,-0.1,hasleud01,MIA,2022
Mychal Mulder,PG,44,-1.3,-2.6,0.0,muldemy01,MIA,2022
Javonte Smart,PG,40,-0.2,-0.7,0.0,smartja01,MIA,2022
Nik Stauskas,SG,24,0.0,-1.3,0.0,stausni01,MIA,2022
