Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Harrison Barnes,PF,2587,1.5,-1.3,1.4,barneha02,SAC,2022
De'Aaron Fox,PG,2083,0.6,-1.2,0.7,foxde01,SAC,2022
Davion Mitchell,PG,2076,-2.1,-1.7,-0.9,mitchda01,SAC,2022
Tyrese Haliburton,SG,1757,2.2,0.4,2.0,halibty01,SAC,2022
Buddy Hield,SG,1574,0.2,-1.5,0.3,hieldbu01,SAC,2022
Chimezie Metu,C,1279,-1.6,0.1,0.2,metuch01,SAC,2022
Richaun Holmes,C,1074,-0.4,-0.1,0.4,holmeri01,SAC,2022
Damian Jones,C,1017,-0.2,0.5,0.6,jonesda03,SAC,2022
Maurice Harkless,SF,863,-3.7,0.4,-0.3,harklma01,SAC,2022
Donte DiVincenzo,SG,665,-0.8,0.2,0.2,divindo01,SAC,2022
Marvin Bagley III,PF,656,-1.1,-2.4,-0.3,baglema01,SAC,2022
Justin Holiday,SG,641,-2.6,-0.8,-0.2,holidju01,SAC,2022
Alex Len,C,620,-3.2,0.3,-0.1,lenal01,SAC,2022
Trey Lyles,PF,547,0.7,-1.6,0.1,lylestr01,SAC,2022
Terence Davis,SG,536,-0.6,-0.4,0.2,daviste02,SAC,2022
Domantas Sabonis,PF,504,1.8,0.5,0.5,sabondo01,SAC,2022
Tristan Thompson,C,455,-2.0,-1.7,-0.2,thomptr01,SAC,2022
Jeremy Lamb,SG,322,-0.6,-0.9,0.0,lambje01,SAC,2022
Jahmi'us Ramsey,SG,134,-3.5,-3.4,-0.2,ramseja01,SAC,2022
Josh Jackson,SF,123,-7.2,-2.0,-0.2,jacksjo02,SAC,2022
Neemias Queta,C,120,-4.1,-1.0,-0.1,quetane01,SAC,2022
Louis King,SF,104,-3.0,-1.6,-0.1,kinglo02,SAC,2022
Robert Woodard II,SF,42,-6.8,-3.6,-0.1,woodaro01,SAC,2022
Justin Robinson,PG,15,-18.5,-7.7,-0.1,robinju01,SAC,2022
Emmanuel Mudiay,PG,11,-2.7,1.5,0.0,mudiaem01,SAC,2022
Ade Murkey,SG,1,-7.4,-2.3,0.0,murkead01,SAC,2022
