Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jrue Holiday,PG,2207,2.9,0.3,2.9,holidjr01,MIL,2022
Giannis Antetokounmpo,PF,2204,7.6,3.5,7.4,antetgi01,MIL,2022
Khris Middleton,SF,2141,1.9,-0.3,1.9,middlkh01,MIL,2022
Bobby Portis,C,2028,1.2,-1.0,1.1,portibo01,MIL,2022
Grayson Allen,SG,1805,0.6,-0.2,1.1,allengr01,MIL,2022
Pat Connaughton,SF,1691,0.8,0.3,1.4,connapa01,MIL,2022
George Hill,PG,1253,-2.2,0.6,0.1,hillge01,MIL,2022
Jordan Nwora,SF,1185,-2.7,-1.5,-0.6,nworajo01,MIL,2022
Wesley Matthews,SG,1002,-3.0,-0.3,-0.3,matthwe02,MIL,2022
Rodney Hood,PF,581,-3.2,-0.2,-0.2,hoodro01,MIL,2022
Thanasis Antetokounmpo,SF,473,-3.5,-0.1,-0.2,antetth01,MIL,2022
Sandro Mamukelashvili,PF,407,0.6,-1.0,0.2,mamuksa01,MIL,2022
Jevon Carter,PG,353,0.9,0.3,0.3,carteje01,MIL,2022
Donte DiVincenzo,SG,341,-3.8,-1.6,-0.3,divindo01,MIL,2022
Serge Ibaka,C,339,-1.4,-1.0,0.0,ibakase01,MIL,2022
Semi Ojeleye,PF,308,-4.9,-1.7,-0.4,ojelese01,MIL,2022
Brook Lopez,C,298,-0.7,-0.7,0.1,lopezbr01,MIL,2022
DeMarcus Cousins,C,287,-0.3,0.9,0.2,couside01,MIL,2022
Lindell Wigginton,PG,199,-3.2,-1.9,-0.2,wiggili01,MIL,2022
Justin Robinson,PG,198,-6.3,-0.3,-0.2,robinju01,MIL,2022
Javonte Smart,PG,160,-7.3,-0.8,-0.2,smartja01,MIL,2022
DeAndre' Bembry,SF,77,-4.4,0.5,0.0,bembrde01,MIL,2022
Greg Monroe,C,70,-2.2,-2.3,0.0,monrogr01,MIL,2022
Langston Galloway,SG,49,-8.5,-0.6,-0.1,gallola01,MIL,2022
Georgios Kalaitzakis,SF,48,-5.8,-2.1,-0.1,kalaige01,MIL,2022
Rayjon Tucker,SG,42,3.5,1.1,0.1,tuckera01,MIL,2022
Luke Kornet,C,3,-14.2,-10.5,0.0,kornelu01,MIL,2022
Jeff Dowtin Jr.,PG,3,-15.7,-6.9,0.0,dowtije01,MIL,2022
Javin DeLaurier,C,3,-4.8,11.8,0.0,delauja01,MIL,2022
