Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Scottie Barnes,PF,2617,0.5,0.4,1.9,barnesc01,TOR,2022
Pascal Siakam,PF,2578,2.7,0.8,3.6,siakapa01,TOR,2022
Fred VanVleet,PG,2462,3.1,0.5,3.5,vanvlfr01,TOR,2022
Gary Trent Jr.,SG,2448,-0.1,0.3,1.3,trentga02,TOR,2022
OG Anunoby,SF,1728,0.4,0.1,1.1,anunoog01,TOR,2022
Precious Achiuwa,C,1725,-2.0,-0.6,-0.2,achiupr01,TOR,2022
Chris Boucher,SF,1690,0.5,-0.4,0.9,bouchch01,TOR,2022
Khem Birch,C,991,-1.7,0.4,0.2,birchkh01,TOR,2022
Svi Mykhailiuk,SF,716,-2.7,-0.2,-0.2,mykhasv01,TOR,2022
Dalano Banton,PG,696,-3.5,0.4,-0.2,bantoda01,TOR,2022
Malachi Flynn,PG,537,-1.8,0.4,0.1,flynnma01,TOR,2022
Thaddeus Young,PF,475,-0.2,2.2,0.5,youngth01,TOR,2022
Yuta Watanabe,SF,445,-1.9,0.0,0.0,watanyu01,TOR,2022
Justin Champagnie,SF,281,-1.3,-0.7,0.0,champju01,TOR,2022
Armoni Brooks,PG,154,-2.8,1.2,0.0,brookar01,TOR,2022
Goran Dragić,PG,90,-0.6,2.6,0.1,dragigo01,TOR,2022
Isaac Bonga,SF,69,-5.4,5.0,0.0,bongais01,TOR,2022
D.J. Wilson,PF,54,1.8,3.2,0.1,wilsodj01,TOR,2022
Tremont Waters,PG,42,-7.5,-0.6,-0.1,watertr01,TOR,2022
Juwan Morgan,PF,27,-3.2,-4.2,0.0,morgaju01,TOR,2022
Daniel Oturu,C,27,-2.7,-2.5,0.0,oturuda01,TOR,2022
David Johnson,SG,2,-19.0,-8.7,0.0,johnsda08,TOR,2022
Sam Dekker,PF,1,-6.2,-3.4,0.0,dekkesa01,TOR,2022
